"","type","title","subtitle","from","date","link"
"1070","Authored article","Business Secretary appeals to everyone to stay calm and carry on the good work","Business Secretary, Alok Sharma, writes for The Sun on Sunday thanking workers and businesses for their support during the coronavirus pandemic.","Department for Business, Energy & Industrial Strategy and The Rt Hon Alok Sharma MP",2020-04-05,"https://www.gov.uk/government/speeches/business-secretary-appeals-to-everyone-to-stay-calm-and-carry-on-the-good-work"
"1071","World news story","British Ambassador welcomes GSK donation to fight COVID-19","Donation by British company GlaxoSmithKline (GSK) will help Guatemalan health system to cope with the emergency.","British Embassy Guatemala City",2020-10-08,"https://www.gov.uk/government/news/british-ambassador-welcomes-gsk-donation-to-fight-covid-19"
"1072","World news story","Funding opportunities for COVID-19 related activities","The Embassy is looking to fund scientific, innovative, economic and social projects. Deadline 5 June 2020.","British Embassy Tel Aviv",2020-05-22,"https://www.gov.uk/government/news/call-for-concept-notes-for-the-british-embassy-tel-aviv-covid-19-enabling-fund"
"1073","News story","PCA approves Declaration by POBs to preserve Pubs Code rights for tied tenants","Subject to Parliamentary approval on lockdown measures the PCA has approved a Declaration by all of the regulated pub-owning businesses (POBs) to be in force from 05 November to 02 December 2020.","Pubs Code Adjudicator",2020-11-04,"https://www.gov.uk/government/news/pca-approves-declaration-by-pobs-to-preserve-pubs-code-rights-for-tied-tenants"
"1074","Press release","Return flights for most vulnerable Britons from New Zealand","New government charter flights will bring home the most vulnerable Britons stranded in New Zealand this week with 3 flights from Auckland and 2 from Christchurch.","Foreign & Commonwealth Office and The Rt Hon Lord Zac Goldsmith",2020-04-19,"https://www.gov.uk/government/news/return-flights-for-most-vulnerable-britons-from-new-zealand"
"1075","News story","Statement on our earlier announcement, 15 August 2020","Regarding Ofqual's earlier statement of 15 August 2020.","Ofqual",2020-08-15,"https://www.gov.uk/government/news/statement-on-our-earlier-announcement-15-august-2020"
"1076","World news story","UN Human Rights Council 43: UK's closing statement","Lord Ahmad of Wimbledon welcomes conclusions of the 43rd Session of the UN Human Rights Council","UK Mission to the WTO, UN and Other International Organisations (Geneva)",2020-06-26,"https://www.gov.uk/government/news/un-human-rights-council-43-uks-closing-statement"
"1077","Decision","Coronavirus (COVID-19): ministerial direction on spend","Letters authorising spend on urgent coronavirus (COVID-19) issues by the Department of Health and Social Care and its ALBs.","Department of Health and Social Care and The Rt Hon Matt Hancock MP",2020-03-30,"https://www.gov.uk/government/publications/coronavirus-covid-19-ministerial-direction-on-spend"
"1078","Decision","Improvement notice issued to North East Lincolnshire Council","An improvement notice issued to North East Lincolnshire Council due to poor performance in children's social care services.","Department for Education",2019-12-18,"https://www.gov.uk/government/publications/improvement-notice-issued-to-north-east-lincolnshire-council"
"1079","World news story","British High Commission in Mauritius launches COVID-19 fund: call for bids","The British High Commission in Port Louis is inviting proposals from organisations in Mauritius and Rodrigues to bid for projects addressing COVID-19 impact.","British High Commission Port Louis",2020-06-10,"https://www.gov.uk/government/news/british-high-commission-launches-covid-19-fund"
"1080","Speech","Health and Social Care Secretary's statement on coronavirus (COVID-19): 22 June 2020","Health and Social Care Secretary Matt Hancock gave the 22 June 2020 daily press briefing on the government's response to the coronavirus pandemic.","Department of Health and Social Care and The Rt Hon Matt Hancock MP",2020-06-30,"https://www.gov.uk/government/speeches/health-and-social-care-secretarys-statement-on-coronavirus-covid-19-22-june-2020"
"1081","Speech","Health and Social Care Secretary's statement on coronavirus (COVID-19): 23 April 2020","Health and Social Care Secretary Matt Hancock gave the 23 April 2020 daily press briefing on the government's response to the COVID-19 pandemic.","Department of Health and Social Care and The Rt Hon Matt Hancock MP",2020-04-30,"https://www.gov.uk/government/speeches/health-and-social-care-secretarys-statement-on-coronavirus-covid-19-23-april-2020"
"1082","News story","Protocol agreed to reopen French border to UK arrivals","Hauliers strongly urged not to travel to Kent until further notice.","Department for Transport and The Rt Hon Grant Shapps MP",2020-12-22,"https://www.gov.uk/government/news/protocol-agreed-to-reopen-french-border-to-uk-arrivals"
"1083","Press release","Bolton and Trafford to remain under existing restrictions","Statement from Health and Social Care Secretary Matt Hancock on Bolton and Trafford now remaining under existing coronavirus (COVID-19) restrictions.","Department of Health and Social Care and The Rt Hon Matt Hancock MP",2020-09-02,"https://www.gov.uk/government/news/bolton-and-trafford-to-remain-under-existing-restrictions"
"1084","News story","COVID-19 (SARS-CoV-2): information about the new virus variant","The new variant transmits more easily than the previous one but there is no evidence that it is more likely to cause severe disease or mortality.","Public Health England",2020-12-20,"https://www.gov.uk/government/news/covid-19-sars-cov-2-information-about-the-new-virus-variant"
"1085","Authored article","We need a national effort to build testing capacity on a massive scale","A message to businesses and industry from Lord Bethell, the health minister leading the government’s testing strategy, first published in The Times Red Box.","Department of Health and Social Care and Lord Bethell of Romford",2020-04-09,"https://www.gov.uk/government/speeches/we-need-a-national-effort-to-build-testing-capacity-on-a-massive-scale"
"1086","Press release","Another 900 British travellers in New Zealand set to return to the UK","Around 900 more British travellers in New Zealand are set to return home on 3 additional UK government chartered flights.","Foreign & Commonwealth Office and The Rt Hon Lord Zac Goldsmith",2020-04-30,"https://www.gov.uk/government/news/another-900-british-travellers-in-new-zealand-set-to-return-to-the-uk"
"1087","Press release","UK Government supports the income of 418,000 people across Wales","New statistics published today demonstrate impact of UK Government’s unprecedented package of coronavirus support in Wales","Office of the Secretary of State for Wales and The Rt Hon Simon Hart MP",2020-06-11,"https://www.gov.uk/government/news/uk-government-supports-the-income-of-418000-people-across-wales"
"1088","Speech","UK Statement for the WTO Trade Policy Review of Zimbabwe","The UK's Ambassador to the WTO and UN in Geneva, Julian Braithwaite, delivered this statement at the WTO Trade Policy Review of Zimbabwe on 30 September 2020.","Foreign, Commonwealth & Development Office and Julian Braithwaite",2020-09-30,"https://www.gov.uk/government/speeches/uk-statement-for-the-wto-trade-policy-review-of-zimbabwe"
"1089","Speech","UK statement to the Committee on Trade and Development","The UK's Deputy Permanent Representative to the WTO in Geneva, Andy Staines delivered the following statement under the agenda item covering an exchange of views and experiences on the impact of the COVID-19 outbreak on the trade of developing countries","Foreign & Commonwealth Office, Department for International Trade, and Andrew Staines",2020-05-26,"https://www.gov.uk/government/speeches/uk-statement-to-the-committee-on-trade-and-development"
"1090","News story","Chancellor to provide extra £350m to tackle Coronavirus in Wales","Chancellor confirms further £350m to support the devolved administration in Wales tackle coronavirus","Office of the Secretary of State for Wales and The Rt Hon Simon Hart MP",2020-04-14,"https://www.gov.uk/government/news/chancellor-to-provide-extra-350m-to-tackle-coronavirus-in-wales"
"1091","Press release","Welsh Secretary addresses business leaders at CBI Wales event","The virtual event focussed on the COVID-19 pandemic and the UK Transition period.","Office of the Secretary of State for Wales and The Rt Hon Simon Hart MP",2020-11-10,"https://www.gov.uk/government/news/welsh-secretary-addresses-business-leaders-at-cbi-wales-event--2"
"1092","Speech","UN Human Rights Council 45: statement under Item 2 – General Debate","The UK's International Ambassador for Human Rights, Rita French, delivered this statement during the Item 2 General Debate commenting on Zimbabwe, Cameroon, Vietnam, Belarus, Iran and DPRK","Foreign, Commonwealth & Development Office and Rita French",2020-09-15,"https://www.gov.uk/government/speeches/un-human-rights-council-45-statement-under-item-2-general-debate"
"1093","Press release","Emergency support instrument update","The UK has secured £31 million in funding through the European Union’s mobility package to assist the UK’s coronavirus response.","Department of Health and Social Care",2020-09-18,"https://www.gov.uk/government/news/emergency-support-instrument-update"
